,加油日期,車牌號碼,實際會去的加油站,記錄時間點,加油公升數
11971,2017/12/1,RI-9314,24,08:09,25.11631343
2575,2017/12/1,GN-7036,36,06:35,29.8726381
14564,2017/12/1,AT-7173,39,04:21,27.90958681
5406,2017/12/1,VN-3154,34,20:31,32.8995894
10955,2017/12/1,DT-3796,34,08:03,30.0202181
1376,2017/12/1,FA-7261,39,02:03,25.54857628
5199,2017/12/1,HA-5324,56,05:06,26.34277598
7958,2017/12/1,EF-7396,8,11:19,28.46368474
5874,2017/12/1,XC-7351,33,13:38,27.45727662
7027,2017/12/1,CP-6703,14,11:54,33.96143878
692,2017/12/1,DD-8075,48,15:31,30.14142267
11504,2017/12/1,FJ-6996,24,17:11,32.69831066
8901,2017/12/1,RN-2274,16,10:22,22.30873307
1415,2017/12/1,VS-3332,1,17:54,28.93645917
8284,2017/12/1,BJ-4712,46,08:45,27.47705074
10705,2017/12/1,GG-1893,53,20:54,33.68085366
7799,2017/12/1,OB-1699,5,20:40,33.78771954
7648,2017/12/1,EA-3699,5,16:29,31.56067901
9939,2017/12/1,YW-3601,2,11:32,21.01629692
9384,2017/12/1,PG-7473,7,20:55,30.00483564
8294,2017/12/1,FB-5584,10,14:50,34.28332184
8506,2017/12/1,OU-2128,5,04:23,30.54527109
13666,2017/12/1,GF-5439,12,19:47,28.03938778
7191,2017/12/1,AW-8705,17,06:52,25.40332595
7792,2017/12/1,BD-6082,29,09:49,30.04783189
553,2017/12/1,DK-6175,49,16:45,26.25169417
4729,2017/12/1,ZH-9223,48,01:45,34.04450078
14417,2017/12/1,MI-5678,47,13:33,30.90695594
13598,2017/12/1,VB-6877,16,16:41,30.59773434
9403,2017/12/1,WZ-6807,7,21:30,31.82361406
11793,2017/12/1,KM-7884,52,17:01,24.66682749
10023,2017/12/1,MN-2849,17,03:22,32.35039817
4070,2017/12/1,BV-9146,50,15:41,28.26521805
14004,2017/12/1,ES-2073,51,20:30,38.96298737
2846,2017/12/1,OC-4827,48,06:51,39.68429301
11519,2017/12/1,SM-9998,26,22:33,29.11906994
7588,2017/12/1,WZ-1335,23,19:35,35.24422082
11753,2017/12/1,BA-8415,22,04:12,22.40069438
8585,2017/12/1,UQ-4771,27,11:55,32.13290897
13873,2017/12/1,SY-4107,31,21:34,31.79613119
3330,2017/12/1,TT-2443,8,17:49,27.67995805
1091,2017/12/1,IU-5242,36,15:36,29.57805646
5739,2017/12/1,GM-3623,13,10:28,33.30590067
7908,2017/12/1,IL-3563,42,01:20,38.77495116
9592,2017/12/1,CK-4991,17,06:03,30.66193587
508,2017/12/1,RB-4943,27,17:31,32.85917161
6739,2017/12/1,TB-7818,39,08:25,30.60352448
9504,2017/12/1,RC-8330,41,01:23,22.9386763
10318,2017/12/1,FZ-3808,50,01:25,33.58454069
420,2017/12/1,NS-8564,55,11:43,31.7295057
4679,2017/12/1,IX-4614,57,01:49,22.16274941
6376,2017/12/1,JK-4237,9,19:16,29.81719953
5212,2017/12/1,LL-8049,24,07:01,26.03687426
6188,2017/12/1,WO-6514,2,23:46,27.23726584
4121,2017/12/1,IF-3923,52,09:11,35.40150061
3910,2017/12/1,TH-1213,1,12:30,34.11872443
926,2017/12/1,KR-1168,6,05:09,33.66468456
14031,2017/12/1,NL-4965,15,00:13,28.61993812
6320,2017/12/1,DK-1489,29,00:14,32.15639824
2856,2017/12/1,VW-6158,41,07:26,25.46839875
7515,2017/12/1,QN-5995,38,05:47,31.8178724
11568,2017/12/1,OL-3990,18,03:03,21.37790457
10763,2017/12/1,VP-8417,27,13:33,31.41950168
14356,2017/12/1,RN-5629,22,21:23,32.06406459
3547,2017/12/1,HS-8768,37,09:05,31.82536077
8412,2017/12/1,JH-5594,22,06:25,26.69093697
2722,2017/12/1,YQ-1551,15,00:12,29.43956563
11019,2017/12/1,HD-1551,23,23:57,38.04902923
4481,2017/12/1,SM-4682,25,07:15,22.74113502
7031,2017/12/1,BB-8300,12,21:37,36.44303144
1343,2017/12/1,GN-8185,54,00:56,24.99674724
8957,2017/12/1,RC-4649,39,21:10,38.39102093
2174,2017/12/1,RM-9585,7,22:28,30.71168234
2568,2017/12/1,JT-3552,45,15:18,32.42123386
13937,2017/12/1,UR-4631,45,00:06,30.54757894
9362,2017/12/1,OS-4410,55,10:41,25.29049714
811,2017/12/1,ZU-6181,18,12:12,34.3779766
187,2017/12/1,FN-1472,43,02:29,31.51836282
11776,2017/12/1,MH-9452,6,11:09,25.19596221
10229,2017/12/1,TZ-1908,9,08:46,31.81334357
10292,2017/12/1,CE-1538,7,07:21,28.14260891
11179,2017/12/1,VG-4464,53,03:55,32.71106537
3447,2017/12/1,RR-2643,11,08:36,27.14745057
10617,2017/12/1,RT-9107,8,11:30,28.28292958
4057,2017/12/1,LL-3665,28,04:58,34.32042581
5697,2017/12/1,WM-5817,21,17:56,32.43618924
10302,2017/12/1,MF-3406,11,19:51,27.93856008
1583,2017/12/1,AV-6748,45,09:28,27.88002223
8409,2017/12/1,OG-2178,52,19:31,33.06819758
3519,2017/12/1,KM-4491,39,21:17,30.71472966
7747,2017/12/1,OZ-4781,56,16:25,32.427828
14082,2017/12/1,YO-6029,22,22:37,37.10814254
274,2017/12/1,UX-6793,19,15:57,26.11237251
600,2017/12/1,RR-2091,11,13:02,25.74892278
774,2017/12/1,ZI-4172,15,23:51,36.02684116
2424,2017/12/1,CR-6041,4,09:05,33.11676713
10655,2017/12/1,DG-7575,46,14:21,25.85089357
12778,2017/12/1,MV-6860,38,15:41,27.24700168
9633,2017/12/1,SY-5321,18,23:05,30.36219304
6918,2017/12/1,LW-9097,46,10:11,31.340522
5367,2017/12/1,SO-2487,47,08:20,30.49576101
2531,2017/12/1,VH-3978,17,14:28,29.63326549
4870,2017/12/1,XK-9074,24,19:37,33.49271435
3643,2017/12/1,LZ-8234,31,19:55,33.44264106
10507,2017/12/1,SD-8375,52,16:57,38.90039767
11842,2017/12/1,HP-8007,15,12:55,30.19323711
14971,2017/12/1,VZ-7190,26,16:45,32.8872273
4417,2017/12/1,IG-2486,49,11:46,30.17395124
13456,2017/12/1,KW-4712,40,22:30,29.56399183
10897,2017/12/1,VS-6789,31,07:31,30.80096789
10369,2017/12/1,VT-4078,31,10:22,28.32057868
7571,2017/12/1,VS-2471,26,21:16,31.4484208
1673,2017/12/1,BH-5065,24,18:39,23.74691306
5959,2017/12/1,NJ-6902,1,11:47,32.13417734
964,2017/12/1,LU-4116,54,19:14,28.19629022
2899,2017/12/1,ZG-4370,13,03:23,26.50691588
1645,2017/12/1,BO-8734,32,11:47,28.97202736
11298,2017/12/1,TE-9766,12,01:47,27.82968205
4531,2017/12/1,GU-8844,3,05:24,31.61425216
7281,2017/12/1,QQ-7657,34,23:56,33.15612897
10113,2017/12/1,JR-6643,57,00:47,33.70434455
12801,2017/12/1,SC-6839,7,20:52,31.20216217
10911,2017/12/1,UB-7886,47,16:36,33.014513
9954,2017/12/1,QG-6295,52,09:50,29.23540831
14636,2017/12/1,YB-2307,56,14:55,30.21593759
5555,2017/12/1,QS-1310,1,17:34,33.23830875
733,2017/12/1,TZ-4297,8,23:33,31.85241112
7389,2017/12/1,UI-6496,44,13:55,30.02699877
10855,2017/12/1,PO-5734,46,06:34,26.32635446
5115,2017/12/1,VX-6762,40,23:12,37.95621941
14823,2017/12/1,JR-1657,6,16:49,39.44051767
1346,2017/12/1,JX-5610,26,21:38,28.4902657
14906,2017/12/1,GE-8464,3,23:30,21.03897859
3351,2017/12/1,VC-3158,18,12:42,32.0019853
9263,2017/12/1,AK-1359,3,15:23,36.17395918
8635,2017/12/1,WV-8933,26,03:14,31.26469494
2290,2017/12/1,YV-8819,40,07:56,31.74869389
4238,2017/12/1,JD-8922,7,22:18,34.19563908
12459,2017/12/1,UY-6228,2,20:31,29.97923
12890,2017/12/1,LX-5737,35,17:41,31.58743348
14041,2017/12/1,MB-1729,21,05:22,35.52069668
3821,2017/12/1,LN-7553,45,04:33,31.01643808
5641,2017/12/1,YK-9709,35,11:07,33.06705204
10757,2017/12/1,AQ-2084,32,07:49,32.04985561
12211,2017/12/1,OY-3490,41,11:48,25.20881315
4201,2017/12/1,NR-1222,42,20:28,31.48237788
2589,2017/12/1,BH-6453,50,08:01,24.20435983
555,2017/12/1,IJ-3315,1,11:51,26.29355389
7410,2017/12/1,YW-9945,13,15:37,23.1327741
3366,2017/12/1,WG-7065,21,18:37,32.87444486
2463,2017/12/1,ZF-3026,57,02:27,30.44076782
156,2017/12/1,FZ-3134,42,04:30,30.79030156
6655,2017/12/1,OW-7275,37,07:07,25.02922857
169,2017/12/1,NA-2666,29,23:51,30.66387882
14342,2017/12/1,XR-8634,8,07:25,27.65306378
2518,2017/12/1,ZR-8407,15,04:15,24.776258
906,2017/12/1,GY-5857,54,15:57,21.45768675
1938,2017/12/1,QW-7679,39,03:54,35.42148403
7937,2017/12/1,TB-6647,53,05:51,30.94089506
11897,2017/12/1,DI-9682,10,08:35,22.24776253
14016,2017/12/1,MF-9140,36,09:22,28.47567744
4077,2017/12/1,DC-8843,32,19:15,31.98686425
9004,2017/12/1,II-2067,49,20:29,23.87607993
10251,2017/12/1,OD-5581,13,11:16,40.41086893
1162,2017/12/1,IZ-5835,25,21:10,29.63718677
7912,2017/12/1,XU-2145,48,01:39,25.98241578
11040,2017/12/1,IU-8886,55,11:47,32.84389177
6027,2017/12/1,YX-7202,27,14:29,22.96101757
2133,2017/12/1,KS-1327,36,16:23,30.89329199
935,2017/12/1,DR-3701,23,17:28,32.34818094
7844,2017/12/1,JD-9609,39,06:52,35.93053599
1596,2017/12/1,TY-5508,23,18:21,25.64731221
14695,2017/12/1,NY-8288,48,17:14,35.58507221
6300,2017/12/1,LY-7641,6,01:10,36.39611268
11154,2017/12/1,PG-4372,13,11:03,29.29464213
14842,2017/12/1,SH-7206,34,06:24,30.34997549
14752,2017/12/1,XN-5173,50,00:32,37.2796041
6223,2017/12/1,DX-3885,1,15:11,34.01174146
7046,2017/12/1,DZ-7345,32,14:10,33.63274892
4273,2017/12/1,FS-6249,25,07:33,31.11343051
6340,2017/12/1,PV-3862,31,17:32,31.23469495
9019,2017/12/1,SX-5483,15,20:01,29.59204936
1871,2017/12/1,MF-2717,39,12:50,31.01263058
8629,2017/12/1,BS-9468,47,22:29,27.78025419
