date,car_num,station_loca,check_time,how_much
2017-12-01,RI-9314,24,08:09,25.11631343
2017-12-01,GN-7036,36,06:35,29.8726381
2017-12-01,AT-7173,39,04:21,27.90958681
2017-12-01,VN-3154,34,20:31,32.8995894
2017-12-01,DT-3796,34,08:03,30.0202181
2017-12-01,FA-7261,39,02:03,25.54857628
2017-12-01,HA-5324,56,05:06,26.34277598
2017-12-01,EF-7396,8,11:19,28.46368474
2017-12-01,XC-7351,33,13:38,27.45727662
2017-12-01,CP-6703,14,11:54,33.96143878
2017-12-01,DD-8075,48,15:31,30.14142267
2017-12-01,FJ-6996,24,17:11,32.69831066
2017-12-01,RN-2274,16,10:22,22.30873307
2017-12-01,VS-3332,1,17:54,28.93645917
2017-12-01,BJ-4712,46,08:45,27.47705074
2017-12-01,GG-1893,53,20:54,33.68085366
2017-12-01,OB-1699,5,20:40,33.78771954
2017-12-01,EA-3699,5,16:29,31.56067901
2017-12-01,YW-3601,2,11:32,21.01629692
2017-12-01,PG-7473,7,20:55,30.00483564
2017-12-01,FB-5584,10,14:50,34.28332184
2017-12-01,OU-2128,5,04:23,30.54527109
2017-12-01,GF-5439,12,19:47,28.03938778
2017-12-01,AW-8705,17,06:52,25.40332595
2017-12-01,BD-6082,29,09:49,30.04783189
2017-12-01,DK-6175,49,16:45,26.25169417
2017-12-01,ZH-9223,48,01:45,34.04450078
2017-12-01,MI-5678,47,13:33,30.90695594
2017-12-01,VB-6877,16,16:41,30.59773434
2017-12-01,WZ-6807,7,21:30,31.82361406
2017-12-01,KM-7884,52,17:01,24.66682749
2017-12-01,MN-2849,17,03:22,32.35039817
2017-12-01,BV-9146,50,15:41,28.26521805
2017-12-01,ES-2073,51,20:30,38.96298737
2017-12-01,OC-4827,48,06:51,39.68429301
2017-12-01,SM-9998,26,22:33,29.11906994
2017-12-01,WZ-1335,23,19:35,35.24422082
2017-12-01,BA-8415,22,04:12,22.40069438
2017-12-01,UQ-4771,27,11:55,32.13290897
2017-12-01,SY-4107,31,21:34,31.79613119
2017-12-01,TT-2443,8,17:49,27.67995805
2017-12-01,IU-5242,36,15:36,29.57805646
2017-12-01,GM-3623,13,10:28,33.30590067
2017-12-01,IL-3563,42,01:20,38.77495116
2017-12-01,CK-4991,17,06:03,30.66193587
2017-12-01,RB-4943,27,17:31,32.85917161
2017-12-01,TB-7818,39,08:25,30.60352448
2017-12-01,RC-8330,41,01:23,22.9386763
2017-12-01,FZ-3808,50,01:25,33.58454069
2017-12-01,NS-8564,55,11:43,31.7295057
2017-12-01,IX-4614,57,01:49,22.16274941
2017-12-01,JK-4237,9,19:16,29.81719953
2017-12-01,LL-8049,24,07:01,26.03687426
2017-12-01,WO-6514,2,23:46,27.23726584
2017-12-01,IF-3923,52,09:11,35.40150061
2017-12-01,TH-1213,1,12:30,34.11872443
2017-12-01,KR-1168,6,05:09,33.66468456
2017-12-01,NL-4965,15,00:13,28.61993812
2017-12-01,DK-1489,29,00:14,32.15639824
2017-12-01,VW-6158,41,07:26,25.46839875
2017-12-01,QN-5995,38,05:47,31.8178724
2017-12-01,OL-3990,18,03:03,21.37790457
2017-12-01,VP-8417,27,13:33,31.41950168
2017-12-01,RN-5629,22,21:23,32.06406459
2017-12-01,HS-8768,37,09:05,31.82536077
2017-12-01,JH-5594,22,06:25,26.69093697
